time_s,rss_kb,vsz_kb,cpu_percent
0, 7396 1633844 0.0
1, 7396 1633844 0.0
2, 7396 1633844 0.0
3, 7396 1633844 0.0
4, 7396 1633844 0.0
5, 7380 1633844 0.0
6, 7380 1633844 0.0
7, 7380 1633844 0.0
8, 7380 1633844 0.0
9, 7380 1633844 0.0
10, 7380 1633844 0.0
11, 7380 1633844 0.0
12, 7380 1633844 0.0
13, 7380 1633844 0.0
14, 7380 1633844 0.0
15, 7380 1633844 0.0
16, 7380 1633844 0.0
17, 7380 1633844 0.0
18, 7380 1633844 0.0
19, 7380 1633844 0.0
20, 7380 1633844 0.0
21, 7380 1633844 0.0
22, 7380 1633844 0.0
23, 7380 1633844 0.0
24, 7380 1633844 0.0
25, 7380 1633844 0.0
26, 7380 1633844 0.0
27, 7380 1633844 0.0
28, 7380 1633844 0.0
29, 7380 1633844 0.0
30, 7380 1633844 0.0
